epoch,lambda,train_loss,train_xi_soft,val_mse,val_xi_hard
1,0.0,3.3701757621765136,0.9427514019012451,1.4091365337371826,0.9584837555885315
2,0.0,0.46512875294685363,0.9494531683921814,0.029860205948352814,0.9584837555885315
3,0.0,0.02918141821026802,0.9481684751510621,0.015439684502780437,0.9584837555885315
4,0.0,0.01467439778894186,0.9486064934730529,0.011835585348308086,0.9584837555885315
5,0.0,0.011797914154827595,0.9479677977561951,0.010529381223022938,0.9584837555885315
6,1.0,-0.9368498115539551,0.947727563381195,0.009952506050467491,0.9584837555885315
7,1.0,-0.9378059225082398,0.9483354773521423,0.009813550859689713,0.9584837555885315
8,1.0,-0.9379138622283936,0.9483281435966492,0.009747629053890705,0.9584837555885315
9,1.0,-0.9376620988845825,0.9480029544830322,0.009636152535676956,0.9584837555885315
10,1.0,-0.9379166555404663,0.9482871384620667,0.009652199223637581,0.9584837555885315
11,1.0,-0.9378217358589173,0.948127468585968,0.009631415829062462,0.9584837555885315
12,1.0,-0.9381947169303894,0.9484468393325806,0.009697106666862965,0.9584837555885315
13,1.0,-0.9385298266410828,0.9487998623847962,0.009593027643859386,0.9584837555885315
14,1.0,-0.937908504486084,0.948136266708374,0.009589671157300472,0.9584837555885315
15,1.0,-0.9385173144340515,0.9487544260025025,0.00958015862852335,0.9584837555885315
16,1.0,-0.9386218852996826,0.9488672308921814,0.009559651836752892,0.9584837555885315
17,1.0,-0.9383360800743104,0.9486372456550598,0.009667442180216312,0.9584837555885315
18,1.0,-0.9385319314002991,0.9487793555259705,0.009545551612973213,0.9584837555885315
19,1.0,-0.9388506655693054,0.9490635581016541,0.009542067535221577,0.9584837555885315
20,1.0,-0.9388583807945251,0.9490796241760254,0.009612740017473698,0.9584837555885315
21,1.0,-0.9384807920455933,0.9486929264068603,0.009561451151967049,0.9584837555885315
22,1.0,-0.9382580184936523,0.9484687809944152,0.009554135613143444,0.9584837555885315
23,1.0,-0.9384202589988708,0.9486679940223693,0.009596136398613453,0.9584837555885315
24,1.0,-0.9379474010467529,0.9481582388877868,0.009555871598422527,0.9584837555885315
25,1.0,-0.9387338929176331,0.9489126453399658,0.009546822868287563,0.9584837555885315
26,1.0,-0.9390196218490601,0.9492275876998901,0.0096223633736372,0.9584837555885315
27,1.0,-0.9380805735588074,0.9482871403694153,0.00954553484916687,0.9584837555885315
28,1.0,-0.938725998878479,0.948974160194397,0.00956280529499054,0.9584837555885315
29,1.0,-0.9386166214942933,0.948827712059021,0.009523531422019005,0.9584837555885315
30,1.0,-0.9387513160705566,0.94891850233078,0.009562603197991848,0.9584837555885315
31,1.0,-0.9388156838417053,0.9489829683303833,0.009651673026382923,0.9584837555885315
32,1.0,-0.9385712561607361,0.9487749705314636,0.009547464549541473,0.9584837555885315
33,1.0,-0.9379273028373718,0.948111379146576,0.009587686508893967,0.9584837555885315
34,1.0,-0.9387794570922852,0.9490913310050965,0.009562799707055092,0.9584837555885315
35,1.0,-0.939110698223114,0.9492803335189819,0.009627493098378181,0.9584837555885315
36,1.0,-0.9385806007385253,0.9487456469535828,0.009516743011772633,0.9584837555885315
37,1.0,-0.9384593796730042,0.948729540348053,0.009570416994392872,0.9584837555885315
38,1.0,-0.9389356188774108,0.949105987071991,0.00954416673630476,0.9584837555885315
39,1.0,-0.9382680773735046,0.9484541153907776,0.00951843149960041,0.9584837555885315
40,1.0,-0.9377211441993714,0.947915090560913,0.009582883678376675,0.9584837555885315
41,1.0,-0.9384500513076782,0.9487368626594543,0.009522167965769768,0.9584837555885315
42,1.0,-0.9385444102287293,0.9487778840065002,0.009753318503499031,0.9584837555885315
43,1.0,-0.938435977935791,0.9486460328102112,0.009548238478600979,0.9584837555885315
44,1.0,-0.9386983046531677,0.9488555240631104,0.009593064896762371,0.9584837555885315
45,1.0,-0.93847585439682,0.9486489663124085,0.009539518505334854,0.9584837555885315
46,1.0,-0.9390146484375,0.9492642216682434,0.009800583124160767,0.9584837555885315
47,1.0,-0.9393038735389709,0.9494985947608948,0.00952907744795084,0.9584837555885315
48,1.0,-0.9378605480194092,0.9480381274223327,0.009613515809178352,0.9584837555885315
49,1.0,-0.9384277057647705,0.9486137809753418,0.009661203250288963,0.9584837555885315
50,1.0,-0.9383781776428223,0.9485947613716126,0.009799117222428322,0.9584837555885315
